SAROS DLMM POOLS SUMMARY
========================
Fetched: 2025-09-26T12:12:18.032Z
Total Pools: 132
Unique Tokens: 28

FJug3z58gssSTDhVNkTse5fP8GRZzuidf9SRtfB2RhDe/USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB | TVL: $     9652.56 | Active: ✅
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump/SOL | TVL: $       12.14 | Active: ✅
uniBKsEV37qLRFZD7v3Z9drX6voyiCM8WcaePqeSSLc/WBTC | TVL: $        4.57 | Active: ✅
USDC/USDT            | TVL: $        0.00 | Active: ❌
SNTR/USDC            | TVL: $887054369486.73 | Active: ✅
DR5cCdABB5sZjyVF7i3mestghxGzvHawQk35sP9QFNjf/WBTC | TVL: $       20.00 | Active: ✅
pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn/USDC | TVL: $        0.00 | Active: ❌
KMNO/USDC            | TVL: $        0.00 | Active: ❌
SAROS/C98            | TVL: $        6.12 | Active: ✅
mae8vJGf8Wju8Ron1oDTQVaTGGBpcpWDwoRQJALMMf2/USDC | TVL: $      422.17 | Active: ✅
SAROS/SOL            | TVL: $        0.00 | Active: ❌
CRAMvzDsSpXYsFpcoDr6vFLJMBeftez1E7277xwPpump/SOL | TVL: $      418.21 | Active: ✅
ALTP6gug9wv5mFtx2tSU1YYZ1NrEc2chDdMPoJA8f8pu/USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB | TVL: $   108927.81 | Active: ✅
JUP/SOL              | TVL: $        0.00 | Active: ❌
3kRSZBRUYvXGJ8t3mtYEYBXEgEZevADd2Se7M1AYP6WN/SOL | TVL: $        0.00 | Active: ❌
SAROS/USDC           | TVL: $        0.00 | Active: ❌
9tqjeRS1swj36Ee5C1iGiwAxjQJNGAVCzaTLwFY8bonk/SOL | TVL: $        0.04 | Active: ❌
EAsWWNGqsHkFMgXh4QFBRmGpmorpTTpWe7jwcNT3sBLV/USDC | TVL: $        0.01 | Active: ❌
SAROS/USDC           | TVL: $        3.01 | Active: ✅
SOL/USDT             | TVL: $      752.60 | Active: ✅
USDC/USDT            | TVL: $   260169.55 | Active: ✅
Ey59PH7Z4BFU4HjyKnyMdWt5GGN76KazTAwQihoUXRnk/USDC | TVL: $ 15788857.86 | Active: ✅
SOL/USDT             | TVL: $        8.89 | Active: ✅
DEBUTr2WcEsjkwKhqbRLqnuFKstX1MrEuvaz5xcoQTgn/SAROS | TVL: $ 10777181.08 | Active: ✅
DR5cCdABB5sZjyVF7i3mestghxGzvHawQk35sP9QFNjf/CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn | TVL: $        0.00 | Active: ❌
EGNjqB7LfRxpkbVMSroA6UaKtGPuy6wWPx7bmijmPuCD/SOL | TVL: $    60047.61 | Active: ✅
SAROS/USDT           | TVL: $        0.07 | Active: ❌
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN/USDC | TVL: $        0.00 | Active: ❌
jokeSc37tSJ5V5MYTmLtKh3SZf11vWd2i8eZC9sd74m/SOL | TVL: $    52274.28 | Active: ✅
jokeSc37tSJ5V5MYTmLtKh3SZf11vWd2i8eZC9sd74m/USDC | TVL: $ 51502689.04 | Active: ✅
pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn/USDT | TVL: $      266.43 | Active: ✅
3Nf6jFEFKtTgnJBpThEisWVPA3WSzsjSdZvUWDP117AF/SAROS | TVL: $149358082.78 | Active: ✅
JUP/USDC             | TVL: $        0.07 | Active: ❌
Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk/SAROS | TVL: $        0.00 | Active: ❌
3kRSZBRUYvXGJ8t3mtYEYBXEgEZevADd2Se7M1AYP6WN/USDT | TVL: $    24868.60 | Active: ✅
SOL/USDC             | TVL: $      680.83 | Active: ✅
SOL/USDC             | TVL: $        0.00 | Active: ❌
W/USDC               | TVL: $        0.00 | Active: ❌
EGNjqB7LfRxpkbVMSroA6UaKtGPuy6wWPx7bmijmPuCD/C98 | TVL: $   187826.09 | Active: ✅
SAROS/C98            | TVL: $   250714.53 | Active: ✅
FuyeX8cpctBwQVDFYgKxYh1JgiXCkK9g4RBVCXm4pump/SOL | TVL: $        0.00 | Active: ❌
C98/SAROS            | TVL: $       15.43 | Active: ✅
